                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9029,                   3.92,                 1.8411,                0.18926,                0.60991,                0.25948,                0.16898,                 1.2313,                 4.9778,                 1.3525,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.4194,                 1.9013,                 1.3603,                0.76847,                0.47585,                0.51327,                 0.3204,                 1.2607,                  2.672,                  1.303,             0.00023593,             0.00023593,             0.00023593
                      3,                 1.2024,                 1.3094,                 1.2065,                0.79365,                0.51476,                0.66929,                0.45461,                 1.1702,                 1.7353,                 1.2122,             0.00035771,             0.00035771,             0.00035771
                      4,                 1.2524,                 1.1157,                 1.2469,                0.81187,                0.63133,                0.73018,                0.48558,                 1.1744,                 2.0652,                 1.2335,             0.00047785,             0.00047785,             0.00047785
                      5,                 1.2264,                 1.0354,                 1.2073,                0.53649,                0.69157,                0.70428,                0.47434,                   1.16,                 2.4895,                 1.2502,             0.00059633,             0.00059633,             0.00059633
                      6,                 1.1626,                0.95774,                 1.1765,                0.62302,                0.71302,                0.79226,                0.49414,                 1.2251,                 1.8036,                 1.2646,             0.00071316,             0.00071316,             0.00071316
                      7,                 1.1659,                0.86941,                 1.1715,                0.82407,                0.56747,                0.70371,                0.44636,                 1.1554,                 1.7253,                  1.214,             0.00082834,             0.00082834,             0.00082834
                      8,                 1.1678,                0.89405,                  1.173,                0.84219,                0.56818,                0.66544,                0.43873,                 1.1889,                 1.7888,                 1.2405,             0.00094188,             0.00094188,             0.00094188
                      9,                 1.2125,                0.88483,                 1.1999,                0.47776,                0.60905,                0.56381,                0.37673,                 1.1969,                 1.9203,                 1.2583,              0.0010538,              0.0010538,              0.0010538
                     10,                 1.1305,                0.83518,                 1.1494,                0.64916,                0.62235,                0.68967,                0.44783,                 1.1341,                  2.029,                 1.2427,               0.001164,               0.001164,               0.001164
                     11,                 1.2545,                0.84641,                 1.2389,                0.73166,                0.57389,                0.65313,                0.35165,                 1.5292,                 1.7764,                 1.4772,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.2334,                 0.8316,                 1.2025,                0.66216,                0.80017,                0.78588,                 0.4968,                 1.2495,                 1.3243,                 1.3221,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.1788,                0.81146,                  1.193,                0.69614,                0.78768,                0.83305,                0.54782,                 1.1675,                 1.4163,                 1.2771,               0.001151,               0.001151,               0.001151
                     14,                 1.2053,                0.85751,                 1.2172,                0.76143,                0.77195,                0.83286,                0.54012,                 1.1883,                 1.0372,                 1.2591,              0.0011428,              0.0011428,              0.0011428
                     15,                  1.079,                0.71585,                 1.1523,                0.81791,                0.74316,                 0.7756,                0.49515,                  1.229,                 1.5219,                 1.2979,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.1088,                0.73984,                 1.1479,                0.78258,                0.83625,                0.85622,                0.55726,                 1.1587,                0.93655,                 1.2064,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.0841,                0.69696,                 1.1454,                0.77913,                0.82212,                0.84822,                0.55496,                 1.1854,                 0.9018,                 1.2753,               0.001118,               0.001118,               0.001118
                     18,                 1.0622,                0.66832,                 1.1137,                0.78482,                 0.7406,                0.79692,                0.52033,                  1.182,                0.97379,                 1.2563,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.0935,                0.68803,                 1.1457,                0.81189,                0.77904,                0.77382,                0.50633,                  1.189,                0.95858,                 1.2684,              0.0011015,              0.0011015,              0.0011015
                     20,                  1.082,                 0.6931,                 1.1434,                0.73055,                0.79648,                0.76488,                0.49233,                 1.2181,                0.89822,                 1.2506,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.0703,                0.67046,                 1.1318,                0.75899,                0.76635,                0.80069,                0.50804,                 1.2087,                0.94141,                 1.2629,               0.001085,               0.001085,               0.001085
                     22,                 1.0726,                0.66817,                 1.1203,                0.77747,                0.77856,                0.80172,                0.48627,                  1.252,                0.91582,                 1.2653,              0.0010768,              0.0010768,              0.0010768
                     23,                  1.037,                0.65813,                 1.1061,                0.81904,                0.80275,                0.78999,                0.49665,                 1.1672,                0.86758,                 1.2441,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.0557,                  0.679,                 1.1544,                0.79496,                0.83801,                 0.8279,                0.52398,                 1.2151,                0.79514,                 1.2856,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.0188,                0.62507,                 1.1147,                0.73963,                0.86616,                0.83049,                0.54687,                 1.1477,                0.77547,                 1.2501,               0.001052,               0.001052,               0.001052
                     26,                 1.0294,                0.62653,                 1.1047,                0.77603,                0.77619,                0.78859,                0.48005,                 1.3367,                0.90192,                 1.3409,              0.0010438,              0.0010438,              0.0010438
                     27,                 1.0287,                0.63388,                 1.1159,                0.82482,                0.79422,                0.85736,                0.54153,                 1.1935,                0.81012,                 1.2656,              0.0010355,              0.0010355,              0.0010355
                     28,                 1.0029,                0.60796,                  1.116,                0.80095,                0.87193,                 0.8971,                0.57231,                 1.2278,                0.72771,                 1.2545,              0.0010273,              0.0010273,              0.0010273
                     29,                0.98769,                 0.6077,                 1.0739,                 0.7785,                0.86364,                0.85708,                0.55505,                 1.1466,                0.74379,                 1.2299,               0.001019,               0.001019,               0.001019
                     30,                 1.0441,                0.60706,                 1.1029,                0.71809,                0.90278,                0.85737,                0.57229,                 1.1554,                0.77078,                 1.2145,              0.0010107,              0.0010107,              0.0010107
                     31,                0.99321,                0.59887,                 1.0861,                0.81692,                0.77983,                 0.8394,                0.55815,                  1.148,                 0.7966,                 1.2109,              0.0010025,              0.0010025,              0.0010025
                     32,                0.93411,                0.55675,                  1.062,                0.83176,                0.84091,                0.88525,                0.55158,                 1.2437,                0.81832,                 1.2634,             0.00099425,             0.00099425,             0.00099425
                     33,                0.97925,                0.56546,                 1.0946,                0.73086,                0.86332,                 0.8532,                0.55199,                  1.192,                0.84845,                 1.2262,               0.000986,               0.000986,               0.000986
                     34,                0.95283,                0.55694,                 1.0776,                0.82768,                0.80871,                0.86282,                 0.5487,                 1.1518,                0.82972,                    1.2,             0.00097775,             0.00097775,             0.00097775
                     35,                0.99205,                0.55729,                 1.0867,                0.81855,                0.85646,                0.87797,                0.55265,                 1.1784,                0.79968,                 1.2197,              0.0009695,              0.0009695,              0.0009695
                     36,                0.96677,                0.55038,                 1.0549,                0.74798,                0.85868,                0.86947,                0.54311,                 1.2023,                0.81553,                 1.2197,             0.00096125,             0.00096125,             0.00096125
                     37,                0.95976,                0.58623,                 1.0824,                0.83139,                0.81246,                0.87864,                0.58497,                 1.0897,                0.73722,                 1.1615,               0.000953,               0.000953,               0.000953
                     38,                0.92843,                0.55393,                 1.0554,                0.81481,                0.91091,                 0.9107,                0.58901,                 1.1325,                0.66246,                 1.2123,             0.00094475,             0.00094475,             0.00094475
                     39,                0.96879,                0.57609,                 1.0933,                0.81222,                0.85488,                0.87861,                0.57754,                 1.0898,                0.76981,                 1.1817,              0.0009365,              0.0009365,              0.0009365
                     40,                0.94248,                0.56566,                 1.0673,                0.72295,                0.88842,                0.84676,                0.52404,                 1.2115,                0.78305,                 1.2486,             0.00092825,             0.00092825,             0.00092825
                     41,                0.98614,                0.56403,                 1.0967,                0.78398,                0.84403,                 0.8694,                0.55035,                 1.1767,                0.76403,                 1.2023,                0.00092,                0.00092,                0.00092
                     42,                0.91464,                0.54515,                 1.0433,                0.87874,                  0.862,                0.91856,                0.58997,                 1.1386,                0.74515,                 1.2112,             0.00091175,             0.00091175,             0.00091175
                     43,                0.96628,                0.57172,                  1.095,                0.82824,                 0.8694,                0.90148,                0.57998,                 1.1221,                0.79026,                 1.2177,              0.0009035,              0.0009035,              0.0009035
                     44,                 0.9627,                0.56835,                 1.0742,                0.81437,                0.79574,                0.81274,                0.55674,                 1.1244,                0.80093,                 1.1886,             0.00089525,             0.00089525,             0.00089525
                     45,                0.92052,                0.54983,                 1.0543,                0.80947,                0.73759,                0.74718,                0.50199,                 1.2099,                0.89583,                 1.2289,               0.000887,               0.000887,               0.000887
                     46,                0.97367,                0.57231,                 1.0866,                  0.807,                0.80807,                0.80871,                0.54815,                 1.1496,                 0.8789,                 1.2017,             0.00087875,             0.00087875,             0.00087875
                     47,                0.92113,                 0.5254,                 1.0415,                0.82245,                0.83095,                0.83569,                0.58086,                 1.1325,                0.83374,                  1.193,              0.0008705,              0.0008705,              0.0008705
                     48,                 0.8979,                0.55235,                  1.066,                0.85655,                0.83699,                0.81673,                0.53701,                 1.2065,                0.85365,                 1.2316,             0.00086225,             0.00086225,             0.00086225
                     49,                0.89528,                0.53519,                 1.0493,                0.84744,                 0.8222,                0.81733,                0.54831,                  1.122,                0.84455,                 1.1923,               0.000854,               0.000854,               0.000854
                     50,                0.91821,                0.53653,                 1.0493,                0.87276,                0.86792,                0.89233,                0.60056,                  1.107,                0.69285,                 1.1804,             0.00084575,             0.00084575,             0.00084575
                     51,                 0.8812,                0.50826,                  1.032,                0.81852,                0.86033,                0.90085,                0.60591,                 1.0953,                0.68021,                 1.1779,              0.0008375,              0.0008375,              0.0008375
                     52,                 0.8914,                 0.5387,                 1.0387,                0.82486,                0.84925,                0.85309,                0.59627,                 1.0826,                0.75103,                 1.1673,             0.00082925,             0.00082925,             0.00082925
                     53,                  0.848,                0.52688,                 1.0337,                0.68372,                0.85149,                0.82478,                0.56348,                 1.1318,                0.86899,                 1.2033,               0.000821,               0.000821,               0.000821
                     54,                0.85179,                0.49941,                 1.0212,                0.80152,                0.81479,                0.87508,                 0.5893,                 1.1877,                0.82485,                  1.232,             0.00081275,             0.00081275,             0.00081275
                     55,                0.81194,                0.48469,                0.99644,                0.82773,                0.85681,                0.85934,                0.57943,                 1.1342,                 0.7665,                  1.189,              0.0008045,              0.0008045,              0.0008045
                     56,                0.83177,                0.49173,                 1.0091,                0.80686,                0.91232,                 0.8685,                0.57858,                 1.1285,                0.74208,                 1.2057,             0.00079625,             0.00079625,             0.00079625
                     57,                0.86028,                0.50668,                 1.0377,                0.69429,                  0.875,                0.82854,                0.57326,                 1.0809,                0.82124,                  1.181,               0.000788,               0.000788,               0.000788
                     58,                0.83343,                0.48056,                 1.0085,                0.76109,                0.87321,                0.88776,                0.59367,                 1.0916,                 0.7429,                 1.1851,             0.00077975,             0.00077975,             0.00077975
                     59,                0.86578,                0.49756,                 1.0413,                0.82909,                 0.9389,                  0.919,                0.61133,                 1.0952,                0.66034,                  1.189,              0.0007715,              0.0007715,              0.0007715
                     60,                0.82976,                0.48242,                 1.0114,                0.81633,                0.90278,                0.91457,                 0.6239,                 1.0614,                0.64609,                  1.167,             0.00076325,             0.00076325,             0.00076325
                     61,                0.79702,                0.46861,                0.98932,                0.79006,                0.92277,                0.90449,                0.61257,                  1.093,                0.65223,                 1.1872,               0.000755,               0.000755,               0.000755
