                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7096,                 3.3181,                 1.6152,                0.63743,                0.59288,                0.64829,                0.41573,                 1.1433,                 3.1084,                 1.2697,             0.00013332,             0.00013332,             0.00013332
                      2,                 1.2083,                 1.3358,                 1.2495,                 0.6776,                0.80752,                0.80706,                0.56021,                 1.0863,                 2.7177,                 1.2184,             0.00027592,             0.00027592,             0.00027592
                      3,                 1.1585,                 1.0185,                 1.2409,                0.44048,                0.74351,                0.45414,                0.30406,                 1.1119,                    inf,                 1.3008,             0.00041661,             0.00041661,             0.00041661
                      4,                 1.1279,                0.95296,                 1.2269,                  0.014,                0.01752,                0.00811,                0.00513,                 3.2558,                    inf,                 4.3073,             0.00055539,             0.00055539,             0.00055539
                      5,                 1.0782,                0.80952,                 1.1904,                0.33441,                0.52544,                0.31917,                0.19091,                 1.5493,                    inf,                 1.6986,             0.00069227,             0.00069227,             0.00069227
                      6,                 1.1238,                0.85809,                 1.2053,                0.55447,                0.74198,                0.68537,                0.43211,                 1.2671,                 2.2332,                 1.4478,             0.00082724,             0.00082724,             0.00082724
                      7,                  1.086,                0.77722,                 1.2138,                0.52374,                0.30917,                0.30732,                0.18689,                 1.4488,                 2.8225,                 1.5315,              0.0009603,              0.0009603,              0.0009603
                      8,                 1.1252,                0.81118,                 1.2188,                0.55331,                0.42687,                0.44316,                0.29662,                  1.216,                  3.794,                 1.3887,              0.0010597,              0.0010597,              0.0010597
                      9,                  1.062,                0.73319,                 1.1863,                0.79546,                0.42501,                0.62171,                0.41681,                 1.3167,                 2.8118,                 1.5336,              0.0010523,              0.0010523,              0.0010523
                     10,                  1.123,                0.71694,                 1.2144,                 0.6784,                0.66172,                0.73256,                0.48837,                 1.2179,                 1.7934,                 1.4346,               0.001045,               0.001045,               0.001045
                     11,                 1.0631,                0.64538,                 1.1764,                0.67681,                0.55005,                0.60787,                0.39969,                 1.2184,                 1.8217,                 1.3804,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0171,                0.66805,                 1.1693,                0.75912,                0.71919,                0.73784,                0.48954,                 1.1947,                 1.7311,                  1.456,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0067,                0.62709,                 1.1883,                0.85164,                0.77721,                0.83081,                0.57922,                 1.1143,                 1.1064,                 1.3511,               0.001023,               0.001023,               0.001023
                     14,                 1.0651,                0.61044,                 1.2205,                0.61041,                0.70395,                0.72957,                0.43459,                  1.424,                 1.4318,                 1.5508,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0071,                0.62262,                 1.1676,                0.78464,                0.63086,                0.74297,                0.48352,                 1.2366,                 1.1639,                  1.415,              0.0010083,              0.0010083,              0.0010083
                     16,                0.98426,                0.57688,                 1.1413,                0.78057,                0.79716,                0.84036,                0.58567,                 1.1203,                0.91524,                 1.3668,               0.001001,               0.001001,               0.001001
                     17,                0.99133,                0.59134,                 1.1476,                0.73886,                0.72022,                0.81928,                0.52776,                 1.2288,                 1.1175,                 1.4217,             0.00099368,             0.00099368,             0.00099368
                     18,                0.96754,                0.55085,                 1.1117,                0.86927,                0.81079,                0.89762,                0.61539,                 1.0916,                0.92524,                 1.3477,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.0017,                0.55896,                 1.1429,                0.63474,                0.70284,                0.72091,                0.48925,                 1.2007,                 1.4551,                 1.4667,             0.00097901,             0.00097901,             0.00097901
