                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7651,                 4.0955,                 1.7466,                0.00706,                0.25056,                0.03975,                0.02426,                 1.1327,                 3.7881,                 1.1862,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.4406,                 3.2525,                 1.2918,                0.02418,                0.68387,                0.24997,                0.15318,                 1.3155,                 3.4486,                 1.1543,             0.00023593,             0.00023593,             0.00023593
                      3,                 1.3276,                 2.4319,                 1.1845,                0.02685,                0.82323,                0.28073,                0.17306,                 1.3434,                 3.1516,                 1.1715,             0.00035771,             0.00035771,             0.00035771
                      4,                 1.3503,                 1.9995,                 1.2332,                0.93609,                0.20803,                0.30335,                 0.1586,                 1.5246,                  3.129,                 1.3112,             0.00047785,             0.00047785,             0.00047785
                      5,                 1.3213,                  1.654,                 1.1946,                0.55845,                0.18527,                0.35059,                0.14957,                 1.4913,                 3.0217,                  1.367,             0.00059633,             0.00059633,             0.00059633
                      6,                  1.224,                 1.4027,                 1.1622,                0.90811,                0.32625,                0.53481,                0.32658,                 1.2655,                 2.4449,                 1.2006,             0.00071316,             0.00071316,             0.00071316
                      7,                  1.231,                 1.3139,                 1.1902,                0.87657,                0.44799,                0.57067,                0.32936,                 1.3954,                 2.1764,                  1.283,             0.00082834,             0.00082834,             0.00082834
                      8,                 1.2192,                 1.3524,                 1.1646,                0.87216,                 0.5212,                0.68637,                0.44299,                 1.2759,                 1.9364,                 1.2611,             0.00094188,             0.00094188,             0.00094188
                      9,                 1.2198,                 1.2375,                 1.1794,                0.80981,                0.60227,                0.80335,                 0.4982,                   1.26,                 1.6792,                 1.2145,              0.0010538,              0.0010538,              0.0010538
                     10,                 1.1925,                 1.2208,                 1.1385,                0.81054,                0.68838,                0.82532,                 0.5371,                 1.1503,                 1.4523,                 1.1537,               0.001164,               0.001164,               0.001164
                     11,                 1.2312,                 1.1078,                 1.1934,                0.69133,                0.78157,                0.82048,                0.48546,                 1.3571,                 1.2793,                 1.3088,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.2059,                 1.0737,                  1.181,                0.77032,                0.78358,                0.78088,                0.49958,                 1.2381,                 1.3731,                 1.2606,              0.0011593,              0.0011593,              0.0011593
                     13,                 1.1568,                 1.0819,                 1.1681,                0.77634,                0.70138,                0.79549,                0.49726,                 1.2891,                 1.4806,                 1.2869,               0.001151,               0.001151,               0.001151
                     14,                 1.2671,                 1.1337,                 1.2214,                0.78011,                0.68956,                0.78475,                0.49133,                 1.2701,                  1.456,                 1.2502,              0.0011428,              0.0011428,              0.0011428
                     15,                 1.1343,                0.96671,                 1.1492,                  0.562,                0.78957,                0.71619,                0.47823,                 1.1547,                 1.2377,                 1.1818,              0.0011345,              0.0011345,              0.0011345
                     16,                 1.1576,                 1.0281,                 1.1569,                0.76174,                0.62403,                0.73249,                0.47783,                 1.1994,                 1.3701,                 1.1876,              0.0011263,              0.0011263,              0.0011263
                     17,                 1.1262,                0.99245,                 1.1405,                0.69061,                0.67557,                0.76914,                 0.4919,                 1.2207,                 1.4534,                 1.2235,               0.001118,               0.001118,               0.001118
                     18,                 1.1298,                0.95403,                 1.1288,                0.81583,                0.69697,                0.82369,                0.53704,                 1.1827,                  1.167,                 1.1875,              0.0011098,              0.0011098,              0.0011098
                     19,                 1.1376,                0.96137,                  1.136,                0.72929,                0.75018,                 0.7981,                0.52737,                 1.1529,                 1.2419,                 1.1577,              0.0011015,              0.0011015,              0.0011015
                     20,                 1.0881,                0.96434,                 1.1281,                0.74834,                0.78533,                0.82674,                0.52616,                  1.167,                 1.1002,                 1.1683,              0.0010933,              0.0010933,              0.0010933
                     21,                 1.0869,                0.89326,                 1.1262,                0.73058,                0.76361,                0.84875,                 0.5381,                 1.1939,                 1.1011,                  1.188,               0.001085,               0.001085,               0.001085
                     22,                 1.0611,                0.87551,                 1.1109,                0.78791,                0.77104,                 0.8779,                0.54847,                 1.1676,                 1.1783,                 1.2078,              0.0010768,              0.0010768,              0.0010768
                     23,                 1.0342,                0.85639,                 1.0961,                0.86338,                0.71036,                0.81501,                0.52703,                 1.1317,                  1.266,                  1.185,              0.0010685,              0.0010685,              0.0010685
                     24,                 1.0778,                0.89971,                 1.1469,                0.87926,                0.62109,                0.72967,                0.46967,                 1.1514,                 1.4456,                 1.1892,              0.0010603,              0.0010603,              0.0010603
                     25,                 1.0062,                0.85854,                 1.0964,                0.78697,                0.73444,                0.79758,                0.51619,                 1.1259,                 1.1952,                 1.1904,               0.001052,               0.001052,               0.001052
                     26,                 1.0546,                0.86622,                 1.1098,                0.81486,                0.70494,                0.82416,                0.46149,                 1.4779,                  1.223,                 1.3967,              0.0010438,              0.0010438,              0.0010438
                     27,                 1.0806,                0.90492,                  1.129,                0.75047,                0.80177,                0.80441,                  0.508,                 1.2615,                 1.1236,                  1.271,              0.0010355,              0.0010355,              0.0010355
                     28,                 1.0554,                0.86298,                 1.1223,                0.73301,                0.83293,                0.81154,                 0.4508,                 1.4004,                 1.1913,                 1.2998,              0.0010273,              0.0010273,              0.0010273
                     29,                 1.0357,                0.82107,                 1.0789,                0.76214,                0.81423,                0.78102,                0.50788,                 1.1486,                 1.2897,                 1.1771,               0.001019,               0.001019,               0.001019
                     30,                 1.0557,                0.81371,                 1.0969,                 0.8728,                 0.7447,                0.86852,                0.55403,                 1.1474,                 0.9983,                 1.1756,              0.0010107,              0.0010107,              0.0010107
                     31,                 1.0093,                0.79333,                 1.0821,                0.82863,                0.79334,                0.83687,                0.55878,                 1.1005,                  1.029,                 1.1477,              0.0010025,              0.0010025,              0.0010025
                     32,                0.96424,                 0.7733,                 1.0619,                0.76502,                0.78381,                0.80455,                0.51929,                 1.1984,                 1.0947,                 1.1787,             0.00099425,             0.00099425,             0.00099425
                     33,                 1.0063,                0.77855,                 1.1022,                 0.9069,                0.71457,                  0.823,                0.52224,                 1.2119,                 1.0966,                 1.2055,               0.000986,               0.000986,               0.000986
                     34,                 1.0248,                0.77813,                 1.1004,                0.87359,                0.75058,                0.82309,                0.53863,                 1.2158,                 1.0025,                 1.2229,             0.00097775,             0.00097775,             0.00097775
                     35,                 1.0269,                0.77141,                  1.098,                  0.831,                0.83207,                 0.8538,                0.55571,                 1.1913,                0.87742,                 1.2238,              0.0009695,              0.0009695,              0.0009695
                     36,                0.98231,                0.71797,                 1.0553,                0.84131,                0.86774,                0.84333,                0.54281,                 1.1993,                 0.9133,                 1.2031,             0.00096125,             0.00096125,             0.00096125
                     37,                0.99638,                0.76368,                 1.0871,                0.79106,                0.87588,                 0.8547,                0.55986,                 1.1919,                0.85202,                 1.2018,               0.000953,               0.000953,               0.000953
                     38,                0.93771,                   0.71,                 1.0487,                0.86141,                0.87743,                0.86878,                0.55481,                 1.1915,                0.84297,                 1.2173,             0.00094475,             0.00094475,             0.00094475
                     39,                0.96084,                0.74889,                 1.0729,                0.82069,                0.91421,                0.89121,                0.56535,                 1.1685,                 0.8937,                 1.2044,              0.0009365,              0.0009365,              0.0009365
                     40,                0.94582,                 0.7358,                 1.0564,                0.83679,                 0.8856,                0.91564,                0.59405,                 1.1698,                0.79644,                 1.2031,             0.00092825,             0.00092825,             0.00092825
                     41,                0.96955,                 0.6985,                  1.085,                0.75952,                0.89682,                0.90371,                0.60515,                 1.1328,                0.75801,                 1.1801,                0.00092,                0.00092,                0.00092
                     42,                0.91578,                0.68296,                  1.039,                0.82792,                0.87753,                 0.8893,                0.57354,                 1.1782,                0.79053,                 1.2161,             0.00091175,             0.00091175,             0.00091175
                     43,                0.93486,                 0.7027,                 1.0735,                0.80334,                 0.8827,                0.85115,                0.56579,                  1.148,                0.82345,                 1.1829,              0.0009035,              0.0009035,              0.0009035
                     44,                0.96838,                0.73296,                  1.063,                0.75403,                0.84473,                0.80589,                0.52915,                 1.1381,                0.89192,                 1.1904,             0.00089525,             0.00089525,             0.00089525
                     45,                0.92001,                 0.6848,                 1.0466,                0.76884,                0.75877,                0.77255,                0.51606,                 1.1558,                0.96518,                 1.1984,               0.000887,               0.000887,               0.000887
                     46,                0.99267,                0.72263,                 1.0899,                0.78206,                0.84682,                0.80885,                0.53909,                 1.1418,                0.91636,                 1.2142,             0.00087875,             0.00087875,             0.00087875
                     47,                0.93894,                0.65961,                  1.043,                0.82169,                0.82787,                0.84701,                0.56068,                  1.134,                0.88254,                 1.1993,              0.0008705,              0.0008705,              0.0008705
                     48,                0.91452,                0.69072,                 1.0566,                0.77842,                 0.8486,                0.86382,                 0.5678,                 1.1679,                0.86465,                 1.2178,             0.00086225,             0.00086225,             0.00086225
                     49,                0.92003,                0.68259,                 1.0529,                 0.8353,                0.84975,                0.87536,                0.58344,                 1.1487,                0.82098,                 1.2172,               0.000854,               0.000854,               0.000854
                     50,                0.91598,                0.66073,                 1.0427,                0.77636,                 0.8934,                0.87473,                0.58671,                  1.152,                0.79481,                 1.2198,             0.00084575,             0.00084575,             0.00084575
