                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9263,                0.98298,                 1.0642,                0.78029,                0.74717,                0.79446,                0.52483,                 1.2023,                  1.245,                 1.2089,             0.00043325,             0.00043325,             0.00043325
                     35,                0.91179,                0.94139,                 1.0269,                0.79326,                0.76272,                0.80672,                0.55019,                 1.1724,                 1.1823,                  1.193,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.0149,                0.94039,                 1.0339,                0.80427,                0.74953,                0.80086,                0.55367,                 1.1573,                 1.1595,                 1.1896,             0.00038375,             0.00038375,             0.00038375
                     37,                0.97762,                 0.8846,                 1.0423,                0.69473,                0.79877,                0.80027,                0.54934,                 1.1851,                  1.193,                  1.207,               0.000359,               0.000359,               0.000359
                     38,                0.98415,                0.94591,                 1.0893,                0.66784,                0.79222,                0.78969,                 0.5491,                 1.1881,                 1.2007,                 1.2085,             0.00033425,             0.00033425,             0.00033425
                     39,                0.91972,                0.95178,                 1.0237,                 0.7409,                0.72858,                0.78276,                0.54054,                 1.1686,                 1.1669,                 1.1947,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.8974,                0.85511,                0.99328,                0.76684,                0.75205,                0.78128,                0.54846,                 1.1666,                 1.1487,                 1.1923,             0.00028475,             0.00028475,             0.00028475
                     41,                0.79122,                0.88699,                0.98557,                0.81192,                0.71623,                0.78821,                0.55679,                 1.1572,                 1.1589,                 1.1868,                0.00026,                0.00026,                0.00026
                     42,                0.84307,                  0.865,                0.98245,                0.82005,                 0.7339,                0.79823,                0.56356,                 1.1527,                  1.158,                 1.1799,             0.00023525,             0.00023525,             0.00023525
                     43,                0.84816,                0.85555,                0.99446,                0.78612,                0.78312,                0.80518,                0.56814,                 1.1412,                 1.1422,                 1.1795,              0.0002105,              0.0002105,              0.0002105
                     44,                0.84188,                0.86503,                0.98823,                0.81947,                0.71949,                0.80282,                 0.5649,                 1.1284,                 1.1223,                 1.1776,             0.00018575,             0.00018575,             0.00018575
                     45,                0.78991,                0.82331,                0.96296,                0.83705,                0.73172,                0.80941,                0.56865,                 1.1225,                 1.0919,                  1.178,               0.000161,               0.000161,               0.000161
                     46,                0.84004,                0.83292,                0.99404,                0.84148,                0.71085,                 0.8057,                0.56218,                 1.1135,                 1.0732,                 1.1739,             0.00013625,             0.00013625,             0.00013625
                     47,                0.81567,                0.81452,                0.97885,                0.79649,                0.75138,                0.80301,                0.56393,                 1.1062,                 1.0684,                 1.1669,              0.0001115,              0.0001115,              0.0001115
                     48,                0.84034,                0.87998,                0.99893,                 0.8052,                0.76326,                0.80363,                 0.5664,                 1.0976,                 1.0614,                 1.1625,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.81407,                0.78434,                0.94423,                0.85097,                0.72341,                0.80182,                0.56046,                 1.0942,                 1.0492,                  1.161,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 0.7992,                0.75495,                0.93025,                0.86452,                0.72333,                0.79707,                0.56046,                 1.0881,                 1.0426,                 1.1577,              3.725e-05,              3.725e-05,              3.725e-05
