epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0951,2.95859,3.6477,2.66164,0.03735,0.45861,0.06372,0.01176,1.5569,3.6756,2.1212,0.000359752,0.000359752,0.000359752
2,18.6396,1.54163,3.18755,1.4505,0.03011,0.47527,0.32867,0.18014,1.40257,3.22876,1.32764,0.000727676,0.000727676,0.000727676
3,26.855,1.38839,2.95035,1.3713,0.02307,0.65128,0.46053,0.23495,1.55583,3.06695,1.69714,0.00109316,0.00109316,0.00109316
4,35.4894,1.34776,2.80855,1.36573,0.89818,0.13551,0.36446,0.23386,1.158,2.59793,1.23493,0.0011,0.0011,0.0011
5,43.7155,1.08586,2.51463,1.18344,0.91708,0.28977,0.38986,0.22418,1.29167,2.29985,1.2015,0.00109633,0.00109633,0.00109633
6,52.1734,1.03632,2.23487,1.16778,0.71578,0.55993,0.57875,0.43056,0.93316,1.93974,1.11055,0.00109267,0.00109267,0.00109267
7,60.4417,0.94751,1.97676,1.10983,0.85095,0.50678,0.78888,0.63733,0.88996,1.78531,1.04551,0.001089,0.001089,0.001089
8,68.738,0.81548,1.68118,1.0659,0.67009,0.86722,0.92706,0.77792,0.73349,1.57234,1.01175,0.00108534,0.00108534,0.00108534
9,81.1382,0.8718,1.45795,1.08429,0.7841,0.93936,0.96811,0.71262,0.91585,1.3089,1.08,0.00108167,0.00108167,0.00108167
10,100.804,0.77749,1.32606,1.04754,0.98443,0.85975,0.95227,0.79538,0.73975,1.31702,0.9846,0.001078,0.001078,0.001078
11,112.953,0.66228,1.2003,0.99466,0.96252,0.90476,0.96359,0.8058,0.75015,1.19835,1.00981,0.00107434,0.00107434,0.00107434
12,129.697,0.67542,1.08955,1.00168,0.95443,0.98978,0.995,0.8529,0.68304,0.84322,1.02194,0.00107067,0.00107067,0.00107067
13,143.124,0.65903,1.02701,0.99668,0.96055,0.99548,0.995,0.81387,0.74724,0.76193,1.01425,0.001067,0.001067,0.001067
14,157.237,0.59395,0.94581,0.96785,0.95479,0.97619,0.99356,0.85575,0.69202,0.76359,0.99719,0.00106334,0.00106334,0.00106334
15,170.607,0.56985,0.88268,0.95822,0.96071,0.9881,0.993,0.77995,0.81719,0.80874,1.03814,0.00105967,0.00105967,0.00105967
16,182.288,0.50966,0.81537,0.93135,0.97105,0.98188,0.99348,0.84992,0.67815,0.75603,0.98609,0.00105601,0.00105601,0.00105601
17,193.774,0.48937,0.76607,0.92003,0.97179,0.9881,0.99348,0.8665,0.65942,0.67498,0.9713,0.00105234,0.00105234,0.00105234
18,202.332,0.48101,0.72808,0.90443,0.97011,0.98329,0.993,0.80484,0.74793,0.7584,1.01057,0.00104867,0.00104867,0.00104867
