                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6462,                 3.1635,                 1.5666,                0.43451,                0.65295,                0.51377,                0.34227,                 1.0995,                 6.6616,                 1.1881,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.2377,                 1.3429,                 1.2629,                0.61852,                0.71807,                0.68933,                0.46856,                 1.1193,                 2.8002,                 1.2515,             0.00029799,             0.00029799,             0.00029799
                      3,                 1.2139,                 1.0516,                 1.2722,                0.57965,                0.66896,                0.61121,                0.38515,                 1.2436,                    inf,                 1.4181,              0.0004495,              0.0004495,              0.0004495
                      4,                 1.2387,                0.93445,                 1.2798,                0.19327,                0.19875,                  0.089,                 0.0678,                    nan,                    nan,                    nan,             0.00059895,             0.00059895,             0.00059895
                      5,                 1.1612,                0.85682,                 1.2446,                 0.3971,                0.61722,                 0.4118,                0.22446,                 1.3532,                 20.058,                 1.6451,             0.00074635,             0.00074635,             0.00074635
                      6,                 1.1182,                0.91986,                 1.2513,                0.31298,                0.54435,                0.43586,                0.29015,                 1.3007,                 3.6829,                 1.5463,              0.0008917,              0.0008917,              0.0008917
                      7,                 1.1429,                0.83957,                 1.2468,                0.63313,                 0.5692,                0.65367,                0.43988,                 1.2466,                  2.326,                 1.4501,               0.001035,               0.001035,               0.001035
                      8,                 1.1293,                0.78865,                 1.2708,                0.60855,                0.52299,                0.56435,                0.35336,                 1.3406,                 1.9416,                 1.5548,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.1012,                0.77795,                 1.2397,                0.59504,                0.64054,                0.66491,                0.43059,                 1.2686,                 2.1532,                 1.5155,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0969,                0.72404,                 1.2108,                0.78625,                0.61821,                0.66009,                0.46522,                 1.1429,                 1.3429,                 1.3933,               0.001045,               0.001045,               0.001045
                     11,                 1.0972,                0.74701,                 1.2471,                0.81191,                0.63359,                 0.7144,                0.48998,                 1.1622,                 1.2989,                 1.3887,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0674,                0.64305,                 1.1837,                0.62536,                0.56101,                0.59833,                0.38982,                  1.389,                 1.8315,                 1.6282,              0.0010303,              0.0010303,              0.0010303
                     13,                  1.056,                0.66011,                 1.2178,                0.75957,                0.69626,                0.73171,                0.47017,                 1.3289,                 1.1655,                 1.5978,               0.001023,               0.001023,               0.001023
                     14,                 1.0877,                0.63024,                 1.2068,                0.32206,                0.12952,                0.14027,                0.08777,                 2.2499,                 3.9244,                 2.0897,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0733,                0.62036,                 1.1823,                0.72051,                0.29519,                0.36824,                0.22241,                 2.0351,                 2.6603,                  2.274,              0.0010083,              0.0010083,              0.0010083
                     16,                0.96574,                0.58609,                 1.1375,                0.44559,                0.33845,                0.37086,                0.24025,                 1.7394,                 2.4083,                 1.8717,               0.001001,               0.001001,               0.001001
                     17,                 1.0569,                0.60041,                 1.1721,                 0.7163,                0.72083,                 0.7772,                0.53106,                 1.1515,                0.99615,                 1.4447,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.0136,                 0.6024,                 1.1719,                0.82391,                0.83943,                0.87817,                0.60122,                 1.1254,                0.78609,                 1.4301,             0.00098635,             0.00098635,             0.00098635
                     19,                0.97215,                0.57021,                 1.1303,                0.73251,                0.69169,                0.80699,                0.57191,                 1.1079,                0.95075,                 1.4024,             0.00097901,             0.00097901,             0.00097901
                     20,                 1.0028,                 0.5587,                   1.15,                0.80382,                0.71207,                 0.7892,                0.54073,                 1.1301,                  1.144,                 1.4488,             0.00097168,             0.00097168,             0.00097168
                     21,                0.97143,                0.56894,                 1.1367,                0.85625,                0.80505,                0.88566,                0.62455,                 1.0655,                 0.8794,                 1.3731,             0.00096435,             0.00096435,             0.00096435
                     22,                0.95071,                0.56811,                 1.1268,                0.81207,                0.78606,                0.82352,                0.58824,                 1.0804,                 0.9667,                 1.3277,             0.00095702,             0.00095702,             0.00095702
                     23,                0.93986,                0.56104,                 1.1707,                0.70205,                0.74859,                0.78389,                 0.5208,                  1.232,                 1.1117,                 1.4494,             0.00094968,             0.00094968,             0.00094968
                     24,                0.95078,                0.56476,                 1.1493,                0.83359,                0.86887,                0.86923,                0.59375,                 1.1586,                0.76755,                 1.4184,             0.00094235,             0.00094235,             0.00094235
                     25,                0.99111,                0.53917,                 1.1421,                0.82945,                0.79474,                 0.8336,                0.58774,                 1.1071,                0.87756,                  1.404,             0.00093502,             0.00093502,             0.00093502
                     26,                0.92592,                0.53159,                 1.1021,                0.84357,                0.71951,                0.74052,                0.53182,                0.99576,                 1.1089,                 1.3197,             0.00092769,             0.00092769,             0.00092769
                     27,                0.91296,                0.54287,                 1.1184,                0.83184,                0.69425,                0.78043,                0.55471,                 1.1459,                 1.0439,                 1.3971,             0.00092035,             0.00092035,             0.00092035
                     28,                0.94523,                0.55722,                 1.1204,                 0.8665,                0.83294,                 0.9007,                0.66006,                 1.0409,                0.83544,                 1.3304,             0.00091302,             0.00091302,             0.00091302
                     29,                0.89927,                 0.5314,                 1.0949,                0.90504,                0.85148,                0.89382,                0.64789,                  1.054,                0.79174,                 1.3546,             0.00090569,             0.00090569,             0.00090569
                     30,                0.91325,                0.53574,                 1.1105,                0.87833,                0.84623,                0.90759,                0.65183,                  1.013,                0.70793,                 1.2949,             0.00089835,             0.00089835,             0.00089835
                     31,                0.91384,                0.52171,                 1.1316,                0.82465,                0.80614,                0.86725,                 0.6095,                 1.0282,                0.85002,                 1.3047,             0.00089102,             0.00089102,             0.00089102
                     32,                0.86779,                0.48116,                 1.0851,                0.87291,                0.83142,                0.88281,                0.60332,                 1.1625,                0.77211,                  1.397,             0.00088369,             0.00088369,             0.00088369
                     33,                0.84834,                0.47096,                 1.0768,                0.88962,                0.78917,                0.88857,                0.61005,                  1.157,                0.75334,                 1.4203,             0.00087636,             0.00087636,             0.00087636
                     34,                0.87268,                0.47294,                 1.0891,                0.89192,                0.83061,                0.88619,                0.65251,                 1.0522,                0.70498,                 1.3667,             0.00086902,             0.00086902,             0.00086902
                     35,                0.86965,                0.47659,                  1.096,                0.93844,                0.82266,                0.91814,                0.65284,                 1.0704,                0.76498,                 1.3399,             0.00086169,             0.00086169,             0.00086169
                     36,                0.89427,                0.48429,                 1.0831,                0.90401,                0.83646,                 0.8777,                0.63912,                 1.0856,                0.74339,                 1.3334,             0.00085436,             0.00085436,             0.00085436
                     37,                0.85263,                 0.4801,                 1.0757,                0.87576,                0.83829,                0.84837,                0.56718,                  1.188,                0.84313,                 1.4217,             0.00084703,             0.00084703,             0.00084703
                     38,                0.86436,                0.44582,                 1.0777,                0.86514,                0.81066,                0.87223,                0.64398,                 1.0171,                0.88869,                  1.279,             0.00083969,             0.00083969,             0.00083969
                     39,                0.87415,                0.47705,                 1.0728,                0.90648,                0.86417,                 0.9058,                0.66504,                 1.0136,                 0.7344,                 1.3258,             0.00083236,             0.00083236,             0.00083236
                     40,                0.86157,                0.47604,                  1.113,                0.87083,                0.85287,                0.88782,                0.62964,                 1.0755,                0.69068,                 1.4196,             0.00082503,             0.00082503,             0.00082503
