                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8685,                  3.699,                 1.8346,                0.18553,                0.38613,                 0.1958,                0.12064,                 1.2169,                 6.6572,                 1.3314,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.2902,                 1.5302,                 1.3197,                0.53766,                0.58215,                0.57358,                0.38413,                 1.1118,                 2.5654,                 1.2089,             0.00023593,             0.00023593,             0.00023593
                      3,                 1.1286,                 1.0914,                 1.2435,                0.80299,                0.52601,                0.67227,                0.45403,                 1.0411,                 2.2038,                 1.2193,             0.00035771,             0.00035771,             0.00035771
                      4,                 1.2148,                 1.0584,                 1.3383,                0.60517,                0.61278,                0.55828,                0.35777,                 1.2448,                 2.1753,                 1.3683,             0.00047785,             0.00047785,             0.00047785
                      5,                 1.1624,                 1.1023,                 1.2467,                 0.5195,                0.59685,                0.60331,                0.40812,                  1.232,                 1.9273,                 1.3438,             0.00059633,             0.00059633,             0.00059633
                      6,                  1.103,                0.91143,                 1.2363,                0.60346,                0.60003,                0.62467,                 0.3938,                 1.2242,                 2.3384,                  1.364,             0.00071316,             0.00071316,             0.00071316
                      7,                 1.1464,                0.85926,                 1.2873,                0.61153,                0.58551,                 0.6388,                0.40491,                 1.3049,                 1.8095,                 1.4804,             0.00082834,             0.00082834,             0.00082834
                      8,                 1.1204,                0.85188,                 1.2555,                0.46603,                0.57147,                0.48882,                0.28187,                 1.4558,                 2.6236,                 1.5959,             0.00094188,             0.00094188,             0.00094188
                      9,                  1.187,                0.86648,                 1.2781,                0.23362,                0.54346,                0.24781,                0.10472,                  1.669,                 6.0035,                 1.7994,              0.0010538,              0.0010538,              0.0010538
                     10,                 1.1035,                0.83985,                 1.2088,                0.55139,                0.63064,                 0.5367,                0.28677,                  1.361,                 1.9141,                 1.4602,               0.001164,               0.001164,               0.001164
                     11,                 1.1604,                0.87107,                 1.2963,                0.61088,                0.60632,                0.68993,                0.40492,                 1.3024,                 1.7066,                 1.4682,              0.0011675,              0.0011675,              0.0011675
                     12,                 1.1395,                0.83198,                  1.273,                0.63634,                0.41914,                0.45589,                0.27075,                 1.4482,                 3.3703,                 1.5484,              0.0011593,              0.0011593,              0.0011593
