                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8084,                 3.6628,                 1.8688,                0.07939,                 0.0982,                0.07705,                 0.0429,                 1.4405,                 3.1917,                 1.3204,              0.0001125,              0.0001125,              0.0001125
                      2,                 1.3099,                 1.6383,                 1.3183,                0.51112,                0.34152,                 0.4273,                 0.2495,                 1.3369,                  6.309,                 1.4058,             0.00023593,             0.00023593,             0.00023593
                      3,                  1.147,                 1.1546,                 1.3037,                0.42788,                0.33172,                0.26999,                0.20384,                 1.1938,                 5.4641,                 1.3934,             0.00035771,             0.00035771,             0.00035771
                      4,                 1.2332,                 1.2048,                 1.3843,                0.28998,                0.30804,                0.05304,                0.03902,                 1.3093,                    inf,                 1.4775,             0.00047785,             0.00047785,             0.00047785
                      5,                 1.2127,                 1.0078,                  1.363,                0.00214,                0.05398,                0.00169,                0.00078,                 2.5175,                    inf,                 4.9321,             0.00059633,             0.00059633,             0.00059633
                      6,                 1.2744,                0.99536,                  1.404,                0.58851,                0.19196,                0.23821,                0.15306,                 1.4381,                 18.867,                 1.8816,             0.00071316,             0.00071316,             0.00071316
                      7,                 1.2071,                0.97386,                 1.4013,                0.18183,                0.68421,                 0.1982,                0.11748,                 1.5717,                    inf,                 2.0095,             0.00082834,             0.00082834,             0.00082834
                      8,                  1.185,                0.90806,                 1.3758,                0.31235,                0.61521,                0.34422,                 0.2052,                 1.2891,                 12.776,                 1.9244,             0.00094188,             0.00094188,             0.00094188
                      9,                 1.2474,                 1.1214,                 1.4239,                0.66131,                0.45088,                 0.4606,                0.29607,                 1.3898,                  4.259,                 1.8472,              0.0010538,              0.0010538,              0.0010538
                     10,                 1.1742,                0.91627,                 1.3381,                0.58199,                0.30709,                0.33342,                0.20077,                 1.5181,                  4.543,                 1.8403,               0.001164,               0.001164,               0.001164
