                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7673,                 3.7605,                 1.6123,                0.30743,                0.51563,                0.32309,                 0.2086,                 1.2375,                 3.9022,                 1.2913,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.3061,                 1.5385,                 1.2497,                0.53241,                0.76245,                0.68115,                0.41263,                 1.2666,                 1.4467,                 1.2837,             0.00029799,             0.00029799,             0.00029799
                      3,                 1.2221,                 1.2524,                 1.2086,                0.75499,                0.75916,                0.82141,                0.53203,                 1.1774,                 1.0667,                 1.2249,              0.0004495,              0.0004495,              0.0004495
                      4,                 1.2179,                 1.0746,                 1.2118,                0.83397,                 0.8203,                0.85577,                0.57443,                 1.1819,                 1.1091,                 1.2368,             0.00059895,             0.00059895,             0.00059895
                      5,                 1.1627,                0.94675,                 1.1428,                0.83263,                0.75548,                0.86417,                0.60383,                  1.055,                 1.0042,                 1.1492,             0.00074635,             0.00074635,             0.00074635
                      6,                 1.1123,                0.91591,                 1.1309,                0.78299,                0.69432,                0.81272,                0.56853,                 1.1056,                 1.2802,                 1.1872,              0.0008917,              0.0008917,              0.0008917
                      7,                  1.122,                0.84255,                 1.1229,                0.68271,                0.72579,                0.77903,                0.47991,                 1.2445,                 1.1799,                 1.2748,               0.001035,               0.001035,               0.001035
                      8,                 1.0892,                 0.8484,                 1.1205,                0.63026,                0.78079,                0.74486,                0.51716,                 1.0811,                  1.155,                 1.1635,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0577,                0.77587,                 1.0966,                 0.8545,                0.78451,                0.86415,                0.59748,                  1.107,                 1.0048,                 1.1637,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0455,                0.71838,                 1.0696,                0.77144,                0.67815,                0.73458,                0.52915,                 1.1212,                 1.2422,                 1.1781,               0.001045,               0.001045,               0.001045
                     11,                 1.0508,                0.75174,                 1.0914,                0.87428,                0.76313,                0.86785,                0.61053,                 1.0525,                0.90862,                 1.1404,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0357,                0.68548,                 1.0638,                0.86978,                0.75184,                0.84355,                0.56073,                 1.2255,                 1.0442,                 1.2492,              0.0010303,              0.0010303,              0.0010303
                     13,                0.99164,                0.67042,                 1.0533,                 0.8497,                0.74802,                0.84291,                0.57393,                 1.0916,                0.96574,                 1.1517,               0.001023,               0.001023,               0.001023
                     14,                 1.0058,                0.64619,                 1.0471,                0.90187,                 0.7686,                0.83058,                0.59864,                 1.0473,                0.93168,                 1.1143,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0393,                0.63706,                 1.0624,                 0.8302,                0.81529,                0.85612,                0.60356,                 1.0409,                0.84798,                 1.1013,              0.0010083,              0.0010083,              0.0010083
                     16,                0.94632,                0.63047,                 1.0253,                0.87001,                0.77311,                0.86662,                0.62454,                 1.0594,                0.83665,                 1.1208,               0.001001,               0.001001,               0.001001
                     17,                 1.0134,                0.61697,                 1.0485,                0.83092,                0.81495,                 0.8328,                0.60904,                0.99867,                0.85971,                 1.0986,             0.00099368,             0.00099368,             0.00099368
                     18,                0.95922,                0.60325,                 1.0347,                0.83876,                0.79925,                0.85504,                0.59973,                 1.0718,                0.84497,                 1.1376,             0.00098635,             0.00098635,             0.00098635
                     19,                0.94408,                 0.5702,                 1.0157,                0.80416,                0.80077,                0.83879,                0.62362,                0.97023,                0.87372,                 1.0834,             0.00097901,             0.00097901,             0.00097901
                     20,                 0.9704,                0.58256,                 1.0269,                  0.886,                0.78816,                 0.8467,                0.61778,                 1.0145,                0.84481,                  1.098,             0.00097168,             0.00097168,             0.00097168
                     21,                0.94654,                0.57175,                  1.019,                0.90972,                0.80832,                0.89726,                0.64308,                 1.0084,                0.72411,                 1.1005,             0.00096435,             0.00096435,             0.00096435
                     22,                0.94116,                0.56258,                 1.0138,                0.87073,                0.87523,                0.91856,                0.66708,                0.99515,                 0.6864,                 1.0941,             0.00095702,             0.00095702,             0.00095702
                     23,                 0.8968,                0.54883,                 1.0266,                0.88439,                0.86743,                0.90068,                0.64284,                 1.0724,                0.73993,                 1.1346,             0.00094968,             0.00094968,             0.00094968
                     24,                0.91729,                0.54867,                 1.0087,                 0.8611,                0.82662,                0.88183,                0.64719,                0.99509,                0.78957,                 1.0899,             0.00094235,             0.00094235,             0.00094235
                     25,                0.94332,                0.53407,                 1.0134,                0.87994,                0.84841,                0.88159,                 0.6477,                 1.0148,                0.81027,                 1.1009,             0.00093502,             0.00093502,             0.00093502
                     26,                0.89819,                0.52102,                 0.9893,                0.85445,                0.86154,                0.89202,                0.63034,                 1.0642,                0.77204,                 1.1241,             0.00092769,             0.00092769,             0.00092769
                     27,                0.86093,                0.51909,                0.99064,                0.90579,                0.83828,                0.90276,                0.65152,                 1.0277,                0.70581,                 1.1036,             0.00092035,             0.00092035,             0.00092035
                     28,                0.89788,                0.53859,                0.99261,                0.85282,                0.82563,                 0.8789,                0.63676,                0.99725,                0.71614,                 1.0794,             0.00091302,             0.00091302,             0.00091302
                     29,                0.83819,                0.50895,                0.98124,                0.92975,                0.81106,                0.90382,                0.65987,                 1.0037,                0.70784,                 1.0914,             0.00090569,             0.00090569,             0.00090569
                     30,                0.85081,                0.50579,                0.98381,                0.88534,                0.81016,                0.87817,                 0.6345,                 1.0402,                0.79155,                 1.1074,             0.00089835,             0.00089835,             0.00089835
                     31,                 0.8719,                0.50807,                0.99237,                0.88263,                0.81938,                0.87226,                0.63762,                0.99573,                0.84851,                  1.082,             0.00089102,             0.00089102,             0.00089102
                     32,                0.81553,                0.49244,                0.95919,                0.83439,                0.88178,                0.90272,                0.66551,                      1,                0.76262,                 1.0856,             0.00088369,             0.00088369,             0.00088369
                     33,                 0.8078,                0.48481,                0.96358,                0.91564,                0.80395,                0.89079,                0.63905,                 1.0573,                0.77513,                   1.12,             0.00087636,             0.00087636,             0.00087636
                     34,                0.82858,                0.50026,                0.97385,                0.80681,                0.78601,                0.86549,                0.62695,                 1.0331,                0.82804,                 1.1143,             0.00086902,             0.00086902,             0.00086902
                     35,                0.83085,                0.49844,                0.98734,                 0.7986,                 0.8373,                0.85551,                0.62366,                0.99029,                0.91846,                  1.086,             0.00086169,             0.00086169,             0.00086169
                     36,                0.84867,                0.48783,                0.97757,                0.88276,                0.81987,                0.89424,                0.64437,                 1.0037,                0.74737,                 1.0981,             0.00085436,             0.00085436,             0.00085436
                     37,                0.80281,                0.46731,                0.96539,                0.89954,                0.85753,                0.91972,                0.65333,                 1.0278,                0.71387,                 1.1133,             0.00084703,             0.00084703,             0.00084703
