epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0329,3.0645,3.65784,2.74105,0.02066,0.28,0.06731,0.02308,1.27825,3.38353,1.64989,0.00035552,0.00035552,0.00035552
2,47.7503,1.60342,3.2294,1.5203,0.02783,0.38,0.08236,0.02538,2.08595,3.27544,1.75728,0.000719767,0.000719767,0.000719767
3,58.8631,1.28118,2.94552,1.22099,0.00955,0.312,0.17018,0.09018,1.37585,3.04311,1.25123,0.00108159,0.00108159,0.00108159
4,68.9076,1.38452,2.83195,1.36854,0.03371,0.272,0.21474,0.09728,1.55308,2.82443,1.65287,0.0011,0.0011,0.0011
5,78.4706,1.38365,2.70603,1.40362,0.91755,0.05711,0.34018,0.11638,1.38125,2.54928,1.27828,0.00109633,0.00109633,0.00109633
6,89.3834,1.2185,2.50627,1.24835,0.93406,0.2244,0.41454,0.2347,1.39467,2.07673,1.32827,0.00109267,0.00109267,0.00109267
7,100.772,1.00957,2.23723,1.14961,0.91104,0.33383,0.44598,0.30274,0.95089,1.91104,1.11602,0.001089,0.001089,0.001089
8,110.347,0.92198,1.95933,1.12202,0.75212,0.64481,0.70374,0.55832,0.92024,1.75068,1.03161,0.00108534,0.00108534,0.00108534
9,120.157,0.86243,1.68718,1.09872,0.81468,0.524,0.54766,0.42081,0.8612,1.58071,1.01549,0.00108167,0.00108167,0.00108167
10,131.329,0.82266,1.49768,1.077,0.90822,0.7156,0.78068,0.58848,0.88521,1.41078,1.03942,0.001078,0.001078,0.001078
11,140.663,0.76252,1.31936,1.04916,0.95974,0.52167,0.58067,0.46151,0.80512,1.35741,1.0445,0.00107434,0.00107434,0.00107434
12,150.299,0.68657,1.18678,1.02232,0.91897,0.58282,0.58738,0.49663,0.83553,1.23238,1.03255,0.00107067,0.00107067,0.00107067
13,159.845,0.68068,1.08969,1.02215,0.91921,0.592,0.58174,0.51272,0.82507,1.13478,1.06335,0.001067,0.001067,0.001067
14,170.823,0.61984,1.01641,0.97874,0.93374,0.58653,0.5945,0.50774,0.78725,1.11783,1.0115,0.00106334,0.00106334,0.00106334
15,183.555,0.58084,0.94889,0.97039,0.93801,0.5755,0.5948,0.47167,0.93444,1.03248,1.09082,0.00105967,0.00105967,0.00105967
16,194.763,0.58264,0.88727,0.95217,0.9398,0.58948,0.58936,0.51299,0.78468,1.07254,1.00428,0.00105601,0.00105601,0.00105601
17,205.831,0.51103,0.83078,0.93022,0.96224,0.57407,0.59799,0.50891,0.70123,0.96043,0.96267,0.00105234,0.00105234,0.00105234
18,220.055,0.47642,0.78045,0.91479,0.95914,0.57264,0.59464,0.46799,0.89933,0.9686,1.05451,0.00104867,0.00104867,0.00104867
19,232.098,0.47888,0.74729,0.91915,0.96473,0.56534,0.58967,0.50425,0.74307,0.87349,0.99259,0.00104501,0.00104501,0.00104501
20,242.566,0.44689,0.70242,0.89746,0.96354,0.54723,0.59038,0.46221,0.85338,0.95044,1.01796,0.00104134,0.00104134,0.00104134
21,253.845,0.43217,0.67583,0.89325,0.97407,0.53686,0.58249,0.51425,0.66163,0.9151,0.98077,0.00103767,0.00103767,0.00103767
22,264.022,0.39683,0.63717,0.88043,0.96203,0.55524,0.58729,0.49321,0.69345,0.89093,0.99353,0.00103401,0.00103401,0.00103401
23,273.2,0.37619,0.60484,0.86979,0.9596,0.56707,0.68729,0.54662,0.69316,0.85987,0.97436,0.00103034,0.00103034,0.00103034
24,282.637,0.35629,0.57357,0.86165,0.85222,0.8,0.79108,0.69045,0.66346,0.83281,0.93714,0.00102668,0.00102668,0.00102668
25,292.046,0.34489,0.5581,0.85462,0.98587,0.5705,0.70124,0.50622,0.80262,0.90308,0.98349,0.00102301,0.00102301,0.00102301
26,301.639,0.35286,0.5426,0.85239,0.89049,0.79888,0.79824,0.66995,0.64235,0.77174,0.94116,0.00101934,0.00101934,0.00101934
27,310.866,0.34369,0.52359,0.84453,0.96419,0.772,0.79338,0.68257,0.64595,0.72292,0.94167,0.00101568,0.00101568,0.00101568
28,321.72,0.32124,0.50427,0.83714,0.90648,0.98382,0.99075,0.80645,0.65094,0.70191,0.94781,0.00101201,0.00101201,0.00101201
29,333.206,0.32024,0.4895,0.83328,0.87476,0.99566,0.995,0.8284,0.70406,0.70799,0.93899,0.00100834,0.00100834,0.00100834
30,344.311,0.33128,0.49047,0.83397,0.97444,0.79332,0.81021,0.71135,0.67573,0.71915,0.93333,0.00100468,0.00100468,0.00100468
31,352.098,0.29789,0.46404,0.82467,0.95119,0.992,0.99469,0.80791,0.64682,0.68259,0.93096,0.00100101,0.00100101,0.00100101
32,361.5,0.28041,0.43992,0.81922,0.96638,0.792,0.86203,0.70429,0.66011,0.69419,0.92918,0.000997345,0.000997345,0.000997345
33,370.263,0.26226,0.4241,0.81499,0.98089,0.79076,0.89491,0.73969,0.61405,0.67523,0.91927,0.000993678,0.000993678,0.000993678
34,378.991,0.2475,0.40971,0.81204,0.95616,0.992,0.99441,0.79832,0.66826,0.67766,0.96151,0.000990012,0.000990012,0.000990012
35,389.203,0.2505,0.4007,0.81359,0.95471,0.992,0.99469,0.81187,0.67603,0.68234,0.93168,0.000986346,0.000986346,0.000986346
36,399.298,0.24067,0.38866,0.80967,0.95646,0.992,0.99414,0.78925,0.67458,0.68863,0.9216,0.000982679,0.000982679,0.000982679
37,410.707,0.23079,0.38261,0.80635,0.95398,0.992,0.99325,0.81061,0.69968,0.65908,0.93166,0.000979013,0.000979013,0.000979013
38,422.049,0.24708,0.37999,0.80619,0.9472,0.992,0.99469,0.83582,0.65232,0.63912,0.92492,0.000975347,0.000975347,0.000975347
39,435.795,0.22908,0.36886,0.80262,0.9634,0.992,0.99469,0.77412,0.69476,0.64163,0.92564,0.000971681,0.000971681,0.000971681
40,446.055,0.22139,0.35958,0.80029,0.94501,0.994,0.995,0.81721,0.66386,0.62601,0.91331,0.000968014,0.000968014,0.000968014
41,455.321,0.22726,0.35328,0.79962,0.9288,0.99619,0.995,0.80629,0.72568,0.69333,0.95579,0.000964348,0.000964348,0.000964348
42,464.598,0.20505,0.33879,0.79534,0.91928,0.992,0.99469,0.82004,0.65938,0.64716,0.95049,0.000960682,0.000960682,0.000960682
43,474.711,0.21164,0.33254,0.79769,0.94954,0.992,0.99441,0.785,0.6871,0.64199,0.93301,0.000957015,0.000957015,0.000957015
44,489.341,0.18536,0.31968,0.79154,0.96183,0.99362,0.995,0.82208,0.63675,0.60724,0.9316,0.000953349,0.000953349,0.000953349
45,497.672,0.18148,0.31316,0.78979,0.95097,0.992,0.99469,0.80202,0.68277,0.61745,0.94158,0.000949683,0.000949683,0.000949683
46,506.246,0.19086,0.31198,0.79026,0.95499,0.99324,0.995,0.85259,0.58081,0.57766,0.89487,0.000946016,0.000946016,0.000946016
47,518.34,0.15875,0.29254,0.78629,0.9671,0.9933,0.995,0.81432,0.68071,0.59766,0.95851,0.00094235,0.00094235,0.00094235
48,527.123,0.18434,0.29844,0.78751,0.95746,0.99309,0.995,0.82183,0.67954,0.5967,0.95234,0.000938684,0.000938684,0.000938684
49,535.76,0.18907,0.30215,0.78792,0.94146,0.992,0.99469,0.82579,0.64989,0.61117,0.94035,0.000935018,0.000935018,0.000935018
50,544.479,0.16905,0.28433,0.78461,0.92979,0.99472,0.995,0.83429,0.63723,0.63095,0.94761,0.000931351,0.000931351,0.000931351
