epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.8348,0.3203,0.22456,0.80702,0.99878,0.97778,0.99059,0.70006,1.15009,0.42632,1.04667,0.0011882,0.0011882,0.0011882
43,91.9804,0.32809,0.2277,0.80699,1,0.98812,0.99121,0.73177,1.07261,0.39952,1.00838,0.0011684,0.0011684,0.0011684
44,94.208,0.32081,0.22246,0.80563,0.98844,0.98889,0.99053,0.70927,1.12611,0.41457,1.02449,0.0011486,0.0011486,0.0011486
45,96.331,0.30601,0.21745,0.80081,1,0.98762,0.99111,0.72593,1.08585,0.39339,1.01549,0.0011288,0.0011288,0.0011288
46,98.4663,0.28783,0.21019,0.79804,0.98878,0.98889,0.991,0.72413,1.10463,0.40792,1.01983,0.001109,0.001109,0.001109
47,100.617,0.30754,0.2151,0.80253,0.99712,0.97778,0.99078,0.72837,1.08627,0.40516,1.0275,0.0010892,0.0010892,0.0010892
48,102.74,0.30739,0.21522,0.80448,0.98858,0.98889,0.99082,0.72025,1.09763,0.40118,1.01331,0.0010694,0.0010694,0.0010694
49,104.885,0.24589,0.1937,0.79203,0.99907,0.97778,0.9913,0.72756,1.09012,0.39302,1.01799,0.0010496,0.0010496,0.0010496
50,107.06,0.24838,0.19287,0.79107,0.99849,0.97778,0.99098,0.70647,1.14758,0.42206,1.0318,0.0010298,0.0010298,0.0010298
51,109.219,0.24493,0.19087,0.78949,0.98888,0.98799,0.99135,0.71879,1.10639,0.41697,1.03258,0.00101,0.00101,0.00101
52,111.345,0.24522,0.18847,0.78849,0.99685,0.97778,0.99089,0.73481,1.07659,0.40232,1.00076,0.0009902,0.0009902,0.0009902
53,113.501,0.24427,0.18782,0.78716,1,0.97525,0.99109,0.73505,1.07715,0.39406,1.00947,0.0009704,0.0009704,0.0009704
