                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6493,                 3.2616,                 1.5523,                  0.279,                0.69435,                0.42745,                0.27558,                 1.1294,                 5.5618,                 1.2227,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.2246,                 1.4104,                 1.2113,                0.56947,                0.69952,                0.63367,                0.44132,                  1.077,                 2.6785,                  1.169,             0.00029799,             0.00029799,             0.00029799
                      3,                 1.1882,                 1.1122,                 1.1897,                0.70678,                0.65334,                0.72494,                0.49993,                 1.1253,                 1.7475,                 1.2037,              0.0004495,              0.0004495,              0.0004495
                      4,                 1.1758,                0.96327,                 1.2082,                 0.5833,                0.55232,                0.58188,                0.39106,                 1.2649,                 2.4617,                   1.33,             0.00059895,             0.00059895,             0.00059895
                      5,                 1.1725,                0.93573,                 1.1846,                0.52326,                0.47591,                0.48157,                0.29391,                 1.3695,                 2.4007,                 1.3798,             0.00074635,             0.00074635,             0.00074635
                      6,                 1.0957,                0.93707,                 1.1537,                0.45043,                0.57364,                0.54131,                0.37243,                 1.1534,                 2.6976,                 1.2438,              0.0008917,              0.0008917,              0.0008917
                      7,                 1.0968,                0.79902,                 1.1438,                0.73052,                0.66232,                0.69935,                0.49959,                 1.0962,                  1.336,                 1.1958,               0.001035,               0.001035,               0.001035
                      8,                 1.1329,                0.79024,                 1.1888,                0.80793,                0.75256,                0.85205,                 0.5808,                 1.1411,                  1.188,                 1.2552,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0526,                  0.734,                 1.1381,                0.79701,                0.73134,                0.82306,                0.52743,                 1.2796,                 1.1516,                 1.2846,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0626,                0.70737,                  1.117,                0.52572,                0.38437,                0.44452,                0.28126,                 1.5773,                 1.9215,                 1.5727,               0.001045,               0.001045,               0.001045
                     11,                  1.073,                0.73769,                 1.1538,                0.77226,                0.82584,                0.83501,                0.59045,                  1.066,                0.95464,                 1.2341,              0.0010377,              0.0010377,              0.0010377
                     12,                  1.038,                0.62426,                 1.1033,                 0.8206,                0.74078,                0.81901,                0.54742,                 1.1987,                 1.0718,                 1.2815,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0026,                0.66194,                 1.1093,                0.77777,                0.67831,                0.74339,                 0.5173,                 1.1927,                 1.1149,                 1.3099,               0.001023,               0.001023,               0.001023
                     14,                 0.9942,                0.60911,                 1.0854,                0.71236,                0.67823,                0.73461,                0.51285,                 1.1315,                 1.0976,                 1.2167,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0633,                0.62337,                 1.1109,                0.81249,                0.74171,                 0.7965,                0.54887,                  1.136,                 1.0157,                 1.2494,              0.0010083,              0.0010083,              0.0010083
                     16,                0.96788,                 0.5852,                 1.0803,                0.77668,                0.74786,                0.81564,                 0.5523,                 1.2114,                0.95285,                 1.2954,               0.001001,               0.001001,               0.001001
                     17,                 1.0087,                0.58372,                 1.0904,                0.89138,                0.72114,                0.86715,                0.61365,                 1.1405,                0.89202,                 1.2782,             0.00099368,             0.00099368,             0.00099368
                     18,                0.95141,                0.57393,                 1.0745,                0.84422,                 0.8019,                0.87931,                0.59131,                 1.2012,                0.89224,                 1.2925,             0.00098635,             0.00098635,             0.00098635
                     19,                0.92243,                0.54691,                 1.0501,                0.87662,                0.80313,                0.85524,                 0.6068,                 1.0421,                0.81372,                 1.2127,             0.00097901,             0.00097901,             0.00097901
                     20,                0.98969,                0.56965,                 1.0788,                0.86502,                0.79682,                0.86461,                0.63095,                 1.0143,                0.73848,                 1.1899,             0.00097168,             0.00097168,             0.00097168
                     21,                0.91465,                 0.5554,                 1.0554,                0.88218,                0.85015,                0.86898,                0.63464,                 1.0213,                0.78726,                 1.1804,             0.00096435,             0.00096435,             0.00096435
                     22,                0.90914,                0.54434,                 1.0574,                0.88558,                0.80322,                0.85299,                0.56907,                 1.1972,                0.83854,                 1.3064,             0.00095702,             0.00095702,             0.00095702
                     23,                0.93872,                0.55217,                 1.0912,                0.81864,                0.79521,                0.82392,                0.55652,                 1.1218,                 1.0478,                 1.2532,             0.00094968,             0.00094968,             0.00094968
                     24,                0.94823,                 0.5726,                  1.077,                0.75252,                0.80937,                0.82164,                0.60895,                 1.0117,                0.83463,                  1.169,             0.00094235,             0.00094235,             0.00094235
                     25,                0.93326,                0.53053,                  1.058,                0.84058,                0.85199,                0.87013,                0.60257,                 1.0725,                0.80114,                 1.2031,             0.00093502,             0.00093502,             0.00093502
                     26,                0.87623,                0.52976,                 1.0242,                0.92538,                0.87193,                0.89587,                0.61742,                 1.1106,                 0.6846,                 1.2462,             0.00092769,             0.00092769,             0.00092769
                     27,                0.88902,                0.52706,                 1.0447,                0.89608,                0.85086,                0.87875,                0.64544,                 1.0122,                0.80177,                  1.192,             0.00092035,             0.00092035,             0.00092035
                     28,                0.90259,                 0.5325,                 1.0398,                 0.8945,                0.84362,                0.84943,                0.61133,                 1.0258,                0.83598,                 1.1939,             0.00091302,             0.00091302,             0.00091302
                     29,                0.85596,                0.49484,                 1.0206,                0.85591,                0.77805,                0.86019,                0.62656,                 1.0086,                0.88949,                 1.1772,             0.00090569,             0.00090569,             0.00090569
                     30,                0.86715,                0.49441,                 1.0385,                0.92498,                0.82084,                0.86566,                0.63754,                 1.0228,                0.79605,                 1.1996,             0.00089835,             0.00089835,             0.00089835
                     31,                  0.893,                0.50981,                 1.0534,                0.89969,                0.83169,                  0.876,                0.65238,                0.97216,                 0.8299,                 1.1552,             0.00089102,             0.00089102,             0.00089102
                     32,                0.83881,                0.48184,                 1.0149,                0.89265,                0.82621,                 0.8554,                0.59643,                 1.1114,                0.80325,                  1.245,             0.00088369,             0.00088369,             0.00088369
                     33,                0.84344,                0.47541,                 1.0197,                0.86132,                 0.8468,                0.90748,                 0.6393,                 1.0576,                 0.7471,                   1.19,             0.00087636,             0.00087636,             0.00087636
                     34,                0.86002,                0.48251,                 1.0279,                0.92001,                0.81932,                0.87716,                0.63646,                 1.0068,                0.72893,                 1.1826,             0.00086902,             0.00086902,             0.00086902
                     35,                0.84832,                0.46627,                 1.0376,                0.90597,                0.84834,                0.86557,                0.63038,                 1.0319,                0.74185,                 1.2084,             0.00086169,             0.00086169,             0.00086169
                     36,                0.84346,                0.46883,                 1.0105,                0.90458,                0.83201,                0.85428,                0.57645,                 1.1471,                 0.8242,                 1.2751,             0.00085436,             0.00085436,             0.00085436
                     37,                 0.8289,                0.45824,                 1.0099,                0.90338,                0.84805,                0.87238,                0.62787,                 1.0991,                0.79549,                 1.2407,             0.00084703,             0.00084703,             0.00084703
                     38,                0.81824,                0.44217,                 1.0107,                0.88158,                0.81898,                0.85445,                0.62413,                 1.0269,                0.86049,                  1.191,             0.00083969,             0.00083969,             0.00083969
                     39,                0.83913,                0.45902,                  1.018,                 0.8674,                0.84615,                0.86109,                0.64362,                0.98645,                0.79834,                 1.1721,             0.00083236,             0.00083236,             0.00083236
                     40,                0.83162,                0.45643,                 1.0345,                0.88262,                0.83441,                0.88126,                 0.6349,                 1.0448,                0.78527,                 1.2119,             0.00082503,             0.00082503,             0.00082503
                     41,                0.77591,                0.43069,                0.98575,                0.89307,                0.83876,                0.88864,                0.64456,                 1.0526,                0.73943,                 1.2237,              0.0008177,              0.0008177,              0.0008177
                     42,                0.79252,                0.43629,                 1.0037,                0.91643,                0.86171,                0.89704,                 0.6584,                0.99133,                0.69901,                 1.1751,             0.00081036,             0.00081036,             0.00081036
                     43,                 0.7749,                 0.4241,                0.98703,                0.83764,                0.85224,                0.87966,                0.65382,                0.97488,                 0.7026,                 1.1532,             0.00080303,             0.00080303,             0.00080303
                     44,                0.78464,                0.44687,                0.99014,                0.83299,                0.84781,                0.86775,                0.64472,                 1.0358,                0.75924,                  1.202,              0.0007957,              0.0007957,              0.0007957
                     45,                0.75043,                0.42889,                0.97833,                0.89682,                0.83713,                0.89005,                0.66646,                0.99881,                0.75906,                 1.1793,             0.00078837,             0.00078837,             0.00078837
                     46,                0.77467,                0.42913,                0.99059,                0.86811,                0.82197,                0.88677,                0.67111,                0.99065,                0.75519,                 1.1675,             0.00078103,             0.00078103,             0.00078103
                     47,                0.76072,                0.44082,                0.99471,                0.80952,                0.78001,                0.83777,                0.61709,                 1.0532,                0.85244,                 1.2212,              0.0007737,              0.0007737,              0.0007737
                     48,                0.75791,                0.42146,                0.98029,                0.89977,                0.86314,                0.89357,                0.66588,                 1.0135,                0.68363,                  1.211,             0.00076637,             0.00076637,             0.00076637
                     49,                0.76159,                0.42647,                0.98738,                0.89982,                0.81216,                0.86578,                0.63552,                 1.0077,                0.78139,                  1.207,             0.00075904,             0.00075904,             0.00075904
                     50,                0.72591,                0.41596,                0.95823,                0.91091,                0.82737,                0.88526,                0.64558,                 1.0085,                0.76755,                 1.2077,              0.0007517,              0.0007517,              0.0007517
                     51,                0.71177,                0.38206,                 0.9431,                 0.9013,                0.83811,                0.85957,                0.62332,                 1.0277,                 0.7199,                 1.2303,             0.00074437,             0.00074437,             0.00074437
                     52,                0.70236,                0.40349,                0.95646,                 0.9028,                0.86476,                0.89318,                0.66398,                 1.0006,                0.71655,                 1.1854,             0.00073704,             0.00073704,             0.00073704
                     53,                0.69533,                0.38084,                0.94054,                0.85528,                0.85982,                0.88425,                0.63962,                 1.0107,                 0.7172,                 1.2009,              0.0007297,              0.0007297,              0.0007297
                     54,                0.70673,                0.39831,                0.93813,                0.87269,                0.84171,                0.89463,                0.66073,                 1.0201,                0.68132,                 1.2372,             0.00072237,             0.00072237,             0.00072237
                     55,                0.70219,                0.40025,                0.96041,                0.87364,                0.84058,                0.89131,                0.66217,                 1.0015,                 0.6844,                 1.2134,             0.00071504,             0.00071504,             0.00071504
                     56,                 0.7082,                0.38793,                0.95803,                0.87908,                0.84892,                0.87167,                0.64073,                 1.0377,                0.77357,                 1.2153,             0.00070771,             0.00070771,             0.00070771
                     57,                0.70621,                0.38738,                0.94501,                0.83295,                0.84858,                0.85294,                0.64017,                 1.0015,                0.77364,                 1.1656,             0.00070037,             0.00070037,             0.00070037
                     58,                0.69148,                0.37734,                0.94366,                 0.8712,                0.80374,                0.88017,                0.64675,                 1.0314,                0.74769,                 1.2146,             0.00069304,             0.00069304,             0.00069304
                     59,                0.67595,                0.37198,                0.92803,                0.85805,                 0.8692,                0.89015,                0.66009,                 1.0354,                0.70092,                 1.2462,             0.00068571,             0.00068571,             0.00068571
                     60,                0.67044,                0.37382,                0.94227,                0.87239,                0.83437,                0.86924,                0.64371,                 1.0416,                0.70524,                 1.2917,             0.00067838,             0.00067838,             0.00067838
                     61,                0.68586,                0.36525,                 0.9442,                0.85654,                0.84151,                0.87873,                0.65229,                 1.0345,                0.71134,                 1.2706,             0.00067104,             0.00067104,             0.00067104
