                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.20833,                0.19609,                0.83577,                0.97568,                0.88792,                0.97167,                0.84271,                0.61241,                0.50591,                0.96634,             0.00072604,             0.00072604,             0.00072604
                     37,                0.22106,                0.19381,                 0.8463,                0.95552,                0.94272,                0.98585,                0.85139,                0.61923,                0.39654,                0.97588,             0.00071504,             0.00071504,             0.00071504
                     38,                0.20265,                0.19301,                0.83706,                0.96378,                 0.9122,                0.98347,                0.84607,                0.60504,                0.40987,                0.96328,             0.00070404,             0.00070404,             0.00070404
                     39,                0.21652,                0.19309,                0.84443,                0.94958,                0.99447,                0.99318,                0.84251,                0.60678,                0.41477,                0.96967,             0.00069304,             0.00069304,             0.00069304
                     40,                0.19598,                0.19102,                0.82687,                0.97922,                0.91137,                0.98767,                0.85001,                0.60329,                0.42212,                0.97182,             0.00068204,             0.00068204,             0.00068204
                     41,                0.19958,                0.18898,                0.83614,                0.92855,                0.94436,                0.98347,                 0.8566,                0.59832,                0.40527,                0.96756,             0.00067104,             0.00067104,             0.00067104
                     42,                0.16888,                0.16897,                 0.8182,                0.91326,                0.90791,                0.97024,                0.83271,                0.59806,                0.49105,                0.96064,             0.00066005,             0.00066005,             0.00066005
                     43,                0.18384,                0.17093,                0.82758,                0.97798,                0.91605,                0.97698,                0.82948,                0.62413,                0.45151,                0.98685,             0.00064905,             0.00064905,             0.00064905
                     44,                0.16515,                0.16007,                0.81625,                0.93642,                0.94964,                0.98736,                0.84043,                0.59922,                0.42244,                0.96607,             0.00063805,             0.00063805,             0.00063805
                     45,                0.16268,                0.15435,                  0.822,                0.96197,                0.91913,                0.97516,                0.83327,                0.61583,                0.44365,                0.97356,             0.00062705,             0.00062705,             0.00062705
                     46,                0.15991,                0.16023,                0.81316,                0.97002,                0.91005,                0.98147,                 0.8266,                0.62137,                0.45398,                0.98774,             0.00061605,             0.00061605,             0.00061605
                     47,                0.16286,                0.15824,                0.81549,                0.98192,                0.94879,                0.99098,                 0.8513,                0.59781,                0.38892,                0.96442,             0.00060505,             0.00060505,             0.00060505
                     48,                0.15313,                0.15346,                0.81041,                0.95752,                0.95426,                0.98457,                0.85082,                0.60584,                 0.4332,                0.96887,             0.00059405,             0.00059405,             0.00059405
                     49,                0.13649,                0.13766,                0.80971,                0.96303,                0.92597,                0.98071,                0.84465,                0.60807,                0.42666,                0.97018,             0.00058305,             0.00058305,             0.00058305
                     50,                0.13256,                0.13475,                 0.8024,                0.95343,                0.94183,                0.98767,                0.86332,                  0.598,                0.42369,                0.97092,             0.00057205,             0.00057205,             0.00057205
                     51,                0.13391,                0.13287,                 0.8058,                0.92983,                  0.954,                0.97184,                0.82911,                0.62395,                0.43251,                0.98457,             0.00056105,             0.00056105,             0.00056105
                     52,                0.13215,                0.13361,                0.79958,                0.96713,                0.95287,                0.98362,                0.86161,                0.59359,                0.40549,                0.96368,             0.00055006,             0.00055006,             0.00055006
